Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
1,1.96E-03,19.335,260.811,3.8,31.7,5,1,0,0,0
2,1.96E-03,19.335,260.811,0.2,34.7,2.6,1,0,0,0
3,1.96E-03,19.335,260.811,2,33.5,3.9,1,0,0,0
4,1.96E-03,19.335,260.811,2.7,31.7,3.5,1,0,0,0
5,1.96E-03,19.335,260.811,2.9,34.7,5.8,1,0,0,0
6,1.96E-03,19.335,260.811,356.2,30.4,2.7,1,0,0,0
7,1.96E-03,19.335,260.811,5.1,35.9,2.8,1,0,0,0
8,1.96E-03,19.335,260.811,359.1,32.8,6.6,1,0,0,0
9,1.96E-03,19.335,260.811,356.7,37.8,4.9,1,0,0,0
10,1.96E-03,19.335,260.811,2.6,37.5,3.2,1,0,0,0
DI 03,7.50E-02,-62.989,299.274,344.3,-72,3,1,0,0,0
DI 04,7.50E-02,-62.992,299.363,8,-68.2,3.1,1,0,0,0
DI 09,7.50E-02,-62.98,299.248,24.3,-70.6,6.3,1,0,0,0
DI 10,7.50E-02,-62.95,299.241,355.3,-79.2,5.3,1,0,0,0
DI 12,7.50E-02,-62.891,299.375,346.8,-76.3,3.9,1,0,0,0
DI 13,7.50E-02,-62.926,299.242,341.7,-79.6,2.8,1,0,0,0
DI 15,7.50E-02,-62.98,299.248,355.2,-73.2,4,1,0,0,0
DI 16,7.50E-02,-62.98,299.248,284.2,-62.5,3.7,1,0,0,0
DI 17,7.50E-02,-62.98,299.248,195.8,-81.2,6.8,1,0,0,0
DI 19,7.50E-02,-62.927,299.218,312.9,-55.1,6.1,1,0,0,0
DI 20,7.50E-02,-62.995,299.218,11.9,-72.4,5.5,1,0,0,0
DI 23,7.50E-02,-62.979,299.424,358.7,-74.7,6.3,1,0,0,0
DI 27,7.50E-02,-62.893,299.383,350.1,-73.9,2.9,1,0,0,0
DI 29,7.50E-02,-62.914,299.287,55.7,-87.4,2,1,0,0,0
DI 30,7.50E-02,-62.995,299.382,338.5,-60.7,7.7,1,0,0,0
GH01 ,6.80E-01,32.898,35.567,350,37.2,4.7,1,0,0,0
GH02 ,0.95,32.828,35.5,349.7,37.2,2.3,1,0,0,0
GH06 ,0.3,33.025,35.723,5.7,50,2.3,1,0,0,0
GH07 ,0.35,33.874,35.64,5.3,55.8,3.1,1,0,0,0
GH08 ,0.104,33.074,35.699,11.6,59,2.4,1,0,0,0
GH12 ,0.709,32.809,35.563,2.2,44.9,4.6,1,0,0,0
GH13 ,0.3,32.935,35.744,25.3,59.8,6.1,1,0,0,0
GH16 ,0.3,33.142,35.667,2.7,57.8,3.1,1,0,0,0
GH17 ,0.105,33.181,35.709,9.5,47.2,3.5,1,0,0,0
GH20 ,0.3,33.073,35.702,1,52.7,3.5,1,0,0,0
GH23 ,0.3,32.987,35.766,30.8,51.6,3.6,1,0,0,0
GH24 ,0.616,32.896,35.694,31.8,43,4.7,1,0,0,0
GH27 ,2.652,32.195,35.157,356.3,46.9,4.9,1,0,0,0
GH28 ,1.69,32.441,35.4,3.3,44.1,3.1,1,0,0,0
GH30 ,1.15,32.566,35.509,4.1,50.8,2.9,1,0,0,0
GH31 ,1.15,32.644,35.49,352.6,43,3.1,1,0,0,0
GH33 ,0.109,32.964,35.761,7.4,59.9,4.7,1,0,0,0
GH34 ,0.44,32.874,35.683,18.4,59.8,2.2,1,0,0,0
GH35 ,1.15,32.687,35.46,2.1,62.2,2.1,1,0,0,0
GH37 ,1.15,32.692,35.539,350.4,40.8,2.3,1,0,0,0
GH38 ,0.3,32.104,35.686,9.1,47.2,2.1,1,0,0,0
GH39 ,0.121,33.129,35.692,17.3,59.6,2.9,1,0,0,0
GH40 ,0.3,33.019,35.705,356.9,57.3,3.6,1,0,0,0
GH41 ,0.3,33.067,35.664,16.2,53,5.7,1,0,0,0
GH42 ,0.3,33.059,35.652,2.5,49.9,3.1,1,0,0,0
GH43 ,0.109,33.106,35.653,19.9,51.1,5.2,1,0,0,0
GH45 ,0.3,32.616,35.591,31.5,49.1,3.9,1,0,0,0
GH46 ,0.3,32.616,35.59,24,46.7,5.5,1,0,0,0
PAT 2,0.109,-46.697,289.225,15.7,-73,3.2,1,0,0,0
PAT 29,0.07,-47.095,289.176,9.7,-50.1,2.4,1,0,0,0
PAT 3,0.76,-46.741,289.11,9.8,-60.9,2.6,1,0,0,0
PAT 30,0.743,-47.1,289.13,20.1,-70.6,4.5,1,0,0,0
PAT 33,0.754,-46.96,288.85,5.4,-73.6,4.2,1,0,0,0
PAT 35,0.327,-46.962,288.606,33.3,-75.5,2.7,1,0,0,0
