Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
GH03 ,1.112,32.765,35.39,157,-56.9,2.3,1,0,0,0
GH04 ,1.15,32.754,35.379,175.1,-58,2.1,1,0,0,0
GH05 ,1.12,32.762,35.386,181,-56.8,2.8,1,0,0,0
GH10 ,1.15,32.714,35.393,175.7,-56.8,2.4,1,0,0,0
GH11 ,1.585,32.644,35.284,214.4,-49.3,2.5,1,0,0,0
GH15 ,0.842,33.025,35.544,196.1,-43.3,3.2,1,0,0,0
GH18 ,0.891,33.002,35.501,183.8,-47.8,4.1,1,0,0,0
GH19 ,1.15,32.936,35.435,180.9,-52.2,2.3,1,0,0,0
GH21 ,4.7,31.722,34.572,178.7,-39,2.7,1,0,0,0
GH22 ,1.413,32.684,35.479,165.5,-55.7,3.8,1,0,0,0
GH26 ,1.64,32.51,35.435,214,-59.9,4.8,1,0,0,0
GH47 ,4.535,31.614,34.582,151.5,-53.1,2.5,1,0,0,0
GH49 ,4.535,31.701,34.622,175,-57.6,3.8,1,0,0,0
GH50 ,4.715,31.662,34.556,165.1,-29.8,2.8,1,0,0,0
GH52 ,4.675,31.626,34.491,160.6,-34.2,3.4,1,0,0,0
PAT 31,1.49,-47.15,289.101,167,70.9,4.7,1,0,0,0
PAT 32,7.71,-47.404,288.576,218.4,64.3,3.2,1,0,0,0
PAT 34,1.14,-46.966,288.745,153.2,77.8,3.6,1,0,0,0
PAT 43,1.36,-46.981,288.836,165.3,67.8,3.9,1,0,0,0
PAT 44,1.34,-47.03,288.857,169.6,56.9,4.4,1,0,0,0
PAT 45,1.37,-47.082,289.026,187.5,61.6,4.6,1,0,0,0
PAT 46,1.39,-47.133,288.875,177.5,59.9,4.6,1,0,0,0
PAT 47,1.34,-47.13,288.877,184.8,73.1,4.3,1,0,0,0
PAT 52,3.03,-47.31,288.137,200,38.2,3.5,1,0,0,0
PAT 53,2.42,-47.27,288.162,174.7,49.1,4.3,1,0,0,0
PAT 55,1.71,-47.203,288.161,146.9,49.5,4.4,1,0,0,0
PAT 56,3.29,-47.207,288.088,186.5,43.5,4.1,1,0,0,0
AW34,0.477,17.021,334.613,177.1,-7.3,7.4,1,0,0,0
AW35,0.477,17.021,334.613,177.3,-16.7,2.4,1,0,0,0
C2,2.61,37.284,358.259,198.2,-48.5,4.4,1,0,0,0
C3,2.61,37.294,358.379,174,-45,4.8,1,0,0,0
G21,7.5,35.825,356.522,213.2,-58.5,3.3,1,0,0,0
V1,8.2,36.136,356.591,256.6,-47.6,4.7,1,0,0,0
bo1,2.25,-46.46,51.594,189,63.4,4.6,1,0,0,0
cn1,3,-46.514,51.446,159.6,52.7,3.1,1,0,0,0
cn2,3,-46.514,51.446,148.9,46.8,6.3,1,0,0,0
cn3,3,-46.514,51.446,147.6,50.5,2.7,1,0,0,0
cn4,3,-46.514,51.446,205,62.2,5.2,1,0,0,0
cn6,3,-46.514,51.446,215.7,56.7,4.4,1,0,0,0
cn7,3,-46.514,51.446,210.1,45.5,6.6,1,0,0,0
cn9,3,-46.514,51.446,234.8,74.7,6.5,1,0,0,0
pc10,3,-46.429,51.401,189,66.4,4.8,1,0,0,0
pc11,3,-46.429,51.401,186.5,50,2.9,1,0,0,0
pc2,3,-46.429,51.401,188.4,68.2,6.6,1,0,0,0
pc3,3,-46.429,51.401,197.1,65.9,6.5,1,0,0,0
pc4,3,-46.429,51.401,186.8,63.1,7.9,1,0,0,0
pc5,3,-46.429,51.401,171.6,65.2,3.8,1,0,0,0
pc6,3,-46.429,51.401,180.1,67.4,7.2,1,0,0,0
pc8,3,-46.429,51.401,174.1,65.8,4,1,0,0,0
pc9,3,-46.429,51.401,180.3,68.8,2.2,1,0,0,0
TL10,0.671,20.958,256.306,164.1,21.4,4.8,1,0,0,0
TL11,0.949,20.93,256.31,208.6,-28.2,4.5,1,0,0,0
TM4,1.12,21.014,255.107,207.7,-45.7,7.8,1,0,0,0
A109,0.965,60.203,193.528,169,-64.8,1.8,1,0,0,0
A29,0.965,60.203,193.528,204.3,-57.5,1.8,1,0,0,0
A30,0.965,60.203,193.528,201.9,-53,2.1,1,0,0,0
A31,0.965,60.203,193.528,201.3,-58.7,1.9,1,0,0,0
A46,0.965,60.203,193.528,125.4,-77.3,2.5,1,0,0,0
A47,0.965,60.203,193.528,136.3,-78,3.3,1,0,0,0
A48,0.965,60.203,193.528,194.8,-73.6,2,1,0,0,0
A52,0.965,60.203,193.528,204.6,-84.1,2,1,0,0,0
A54,0.965,60.203,193.528,200.4,-84.3,1.4,1,0,0,0
A57,0.965,60.203,193.528,238,-63.3,2.5,1,0,0,0
A62,0.965,60.203,193.528,224.3,-83,2,1,0,0,0
A63,0.965,60.203,193.528,108.3,-83.2,2,1,0,0,0
A64,0.965,60.203,193.528,90.9,-87.5,3.5,1,0,0,0
A65,0.965,60.203,193.528,171.5,-78.6,2.2,1,0,0,0
10-El Fresno,1.6,20.065,258.352,182.9,-3.6,2.4,1,0,0,0
12-Cerro Sanambo,0.87,19.699,258.617,181.3,-23,3,1,0,0,0
13-Yahuarato,0.54,19.665,258.458,183.5,-29.4,1.9,1,0,0,0
3-Cerro Culiac‡n,2.1,20.487,259.161,170.7,-35.6,5.9,1,0,0,0
5-Cerro Grande,1.6,20.224,258.534,200.8,-42.3,4.9,1,0,0,0
6-Cerro Grande La Piedad,1.6,20.457,258.025,165.9,-45.1,4.2,1,0,0,0
sp102,0.5,79.327,13.429,211.2,-51,2.6,1,0,0,0
sp103,0.5,79.327,13.42,204.2,-55.7,2.3,1,0,0,0
sp105,8.32,78.279,9.963,71.5,-87.1,2.4,1,0,0,0
sp106,9,78.19,9.637,145.4,-79.7,2.4,1,0,0,0
sp107,9,78.19,9.637,141.7,-82.2,2,1,0,0,0
sp112,9,78.19,9.637,114.1,-74.5,1.2,1,0,0,0
cr418,1.25,10.442,274.754,181.2,-8.4,1.5,1,0,0,0
cr425,1.25,10.754,274.403,184.5,-17.5,3.8,1,0,0,0
cr426,2.03,10.419,274.686,173.1,8.8,3.4,1,0,0,0
HN11:HN10,2.37,64.796,345.237,211.6,-84.9,0.6,1,0,0,0
HN12,2.37,64.796,345.235,169.4,-72.8,2.5,1,0,0,0
HN13,2.33,64.804,345.225,195,-62.6,1.7,1,0,0,0
HN3,3.13,64.651,345.396,135.9,-80,2.6,1,0,0,0
HN4,2.84,64.706,345.339,170.2,-79.8,2.3,1,0,0,0
HN5,2.37,64.796,345.244,161.5,-79.7,0.9,1,0,0,0
HN6,2.37,64.795,345.242,208,-79.1,1.7,1,0,0,0
HN7,2.37,64.795,345.242,192.1,-67.5,2.8,1,0,0,0
HN8,2.37,64.795,345.242,207.3,-67.5,0.9,1,0,0,0
HN9,2.33,64.804,345.231,239.7,-84.4,2.5,1,0,0,0
KG0:KGA0,1.85,64.821,345.043,176.6,-62.6,1.6,1,0,0,0
KG7,1.67,64.86,345,160.7,-65.5,2.3,1,0,0,0
