Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
FJ69A1,1270,65.1,-117.6,233,25,5.4,1,0,0,0
FJ69A2,1270,65.8,-111.1,235.5,22.5,4.2,1,0,0,0
FJ69B3,1270,55.8,-95.85,252.5,52.5,8.2,1,0,0,0
FJ69B4,1270,54.8,-94.25,249,28,11,1,0,0,0
FJ69B5,1270,54.7,-95.85,261,25,16,1,0,0,0
FJ69B6,1270,55.45,-98.4,264.5,28,5.5,1,0,0,0
FJ69C7,1270,66.35,-87.65,261,17.5,1.6,1,0,0,0
FJ69C8,1270,67.05,-87.25,267.5,26,15,1,0,0,0
FJ69C9,1270,68.45,-82.2,267.5,10.5,5.5,1,0,0,0
FJ69D10,1270,62.7,-110.35,243,18,2.4,1,0,0,0
FJ69D12,1270,62.55,-109.15,237.5,32.5,4.8,1,0,0,0
FJ69D13,1270,62.45,-110.65,239,41,5.5,1,0,0,0
FJ69D14,1270,62.55,-111.5,238.5,19.5,2.2,1,0,0,0
FJ69D15,1270,62.8,-110.75,245.5,21,2.8,1,0,0,0
29A,1270,66.6,-115.1,253,17,0,1,0,0,0
29C,1270,66.5,-115,240,19,0,1,0,0,0
29D,1270,66.5,-115,220,21,0,1,0,0,0
29E,1270,66.5,-115,245,15,0,1,0,0,0
29F,1270,66.4,-114.9,235,21,0,1,0,0,0
29G,1270,66.4,-115,245,29,0,1,0,0,0
29H,1270,66.5,-115,242,7,0,1,0,0,0
29J,1270,66.5,-115,283,9,0,1,0,0,0
29K,1270,66.5,-115,258,35,0,1,0,0,0
29L,1270,66.5,-115,213,69,0,1,0,0,0
29N,1270,66.9,-115.2,210,13,0,1,0,0,0
29Q,1270,66.9,-115.3,250,39,0,1,0,0,0
29R,1270,66.9,-115.3,231,25,0,1,0,0,0
29S,1270,66.9,-115.2,249,-17,0,1,0,0,0
29T,1270,67.1,-115.2,224,30,0,1,0,0,0
29U,1270,67.1,-115.3,227,47,0,1,0,0,0
29V,1270,67.1,-115.3,251,31,0,1,0,0,0
29W,1270,67.1,-115.3,247,21,0,1,0,0,0
29X,1270,67.1,-115.3,261,-21,0,1,0,0,0
29Z,1270,67.1,-115.2,225,66,0,1,0,0,0
29AA,1270,67.1,-115.2,220,12,0,1,0,0,0
62,1270,62.5,-110.9,250,17,0,1,0,0,0
63c,1270,62.5,-110.9,235,28,0,1,0,0,0
64c,1270,62.3,-110.8,250,17,0,1,0,0,0
75,1270,62.4,-111.3,237,28,0,1,0,0,0
76,1270,62.5,-111.1,253,18,0,1,0,0,0
78,1270,62.2,-111.6,247,15,0,1,0,0,0
86,1270,62.3,-111.6,259,28,0,1,0,0,0
90,1270,62.3,-111.6,237,23,0,1,0,0,0
29c,1270,64.1,-97.1,268,23,0,1,0,0,0
175,1270,66.9,-119.1,253,27,0,1,0,0,0
BR73A,1270,67.4,-116.3,284,-41,0,1,0,0,0
BR73D,1270,67.4,-116.3,258,12,0,1,0,0,0
BR73G,1270,67.4,-116.3,261,-2,0,1,0,0,0
BR73J,1270,67.4,-116.3,266,9,0,1,0,0,0
BR73K,1270,67.4,-116.3,241,11,0,1,0,0,0
BR73L,1270,67.4,-116.3,260,-44,0,1,0,0,0
26,1270,64.1,-94.9,283,-46,0,1,0,0,0
22 mean,1270,64.1,-82.4,264,5,0,1,0,0,0
24D,1270,64.1,-82.4,261,13,0,1,0,0,0
35D,1270,64.4,-89.3,267,18,0,1,0,0,0
38 mean,1270,67.7,-91.1,267,19,0,1,0,0,0
39D,1270,66.4,-87.7,258,21,0,1,0,0,0
5A mean,1270,62.2,-109.7,255,34,0,1,0,0,0
10AD,1270,62.9,-113.3,218,35,0,1,0,0,0
13A mean,1270,62.2,-111.4,241,20,0,1,0,0,0
84 mean,1270,62,-109.6,258,25,0,1,0,0,0
86C,1270,62,-109.6,248,19,0,1,0,0,0
103S,1270,62.7,-110.5,246,31,0,1,0,0,0
104S,1270,62.8,-110.4,242,14,0,1,0,0,0
JF01,1270,72.7,-96.5,259.4,11.9,2.2,1,0,0,0
JF02,1270,72.7,-96.5,256.6,9.3,8.7,1,0,0,0
JF04,1270,72.7,-96.5,263.2,5.1,5.7,1,0,0,0
JF07,1270,72.7,-96.5,255.5,17.6,1.4,1,0,0,0
JF10,1270,72.7,-96.5,265.5,-3,2.6,1,0,0,0
JF11,1270,72.7,-96.5,262.2,46.9,6.6,1,0,0,0
FA031,1270,72.8,-85.5,247.4,42.6,0,1,0,0,0
FA032,1270,72.8,-85.5,263.3,55,0,1,0,0,0
FA034,1270,72.8,-85.5,240.3,50.6,0,1,0,0,0
FA036,1270,72.8,-85.5,254.7,27.6,0,1,0,0,0
FA037,1270,72.8,-85.5,256.8,17.7,0,1,0,0,0
FA6710,1270,58.3,-64.8,237,8,11.5,1,0,0,0
FA6709,1270,58.4,-64.8,281.5,42.6,6,1,0,0,0
1,1270,65.7,17.3,34.9,-33.7,6.1,1,47.5,1.5,49
2,1270,65,17.6,29.6,-43.3,8.1,1,47.5,1.5,49
3,1270,64.8,17.6,44.9,-41.5,4.4,1,47.5,1.5,49
4,1270,64.7,17.9,55.6,-31.8,14.1,1,47.5,1.5,49
5,1270,64.7,18.4,46.7,-39.1,8.4,1,47.5,1.5,49
6,1270,64.6,18.4,42.7,-49.6,6.7,1,47.5,1.5,49
7,1270,64.6,18.2,55.7,-59.5,10.7,1,47.5,1.5,49
8,1270,64.5,18.6,56.5,-52.8,3.3,1,47.5,1.5,49
9,1270,64.5,18.5,40.3,-56.7,11.1,1,47.5,1.5,49
10,1270,64.4,17.5,46,-38.5,13.8,1,47.5,1.5,49
11,1270,64,17,15,-20.6,3.3,1,47.5,1.5,49
12,1270,63.2,19,55.1,-38.3,3.3,1,47.5,1.5,49
13,1270,63.4,18.6,48.7,-52.4,4.8,1,47.5,1.5,49
