Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
A01,1570,60.33,20.74,11.1,22,25.2,1,0,0,0
A09,1570,60.37,21.33,352.2,6.2,1,1,0,0,0
A11,1570,60.37,21.29,7.9,10,1,1,0,0,0
A13,1570,60.37,21.29,15,-3.9,11.5,1,0,0,0
FG,1570,60.11,19.81,15.8,28.2,1,1,0,0,0
FO,1570,60.41,20.99,12.2,-8.1,1,1,0,0,0
FT,1570,60.05,20.65,9.7,15,3.3,1,0,0,0
FT,1570,60.05,20.65,5.5,6.8,17.2,1,0,0,0
JC,1570,60.09,19.8,13.5,4.5,6.8,1,0,0,0
NB,1570,60.07,20.6,24.3,26,14.7,1,0,0,0
A23,1570,60.45,21.07,12.4,38,5.6,1,0,0,0
JC,1570,60.09,19.8,7.2,15.4,13.3,1,0,0,0
JD,1570,60.1,20.53,23.6,-5.5,8.9,1,0,0,0
RC,1570,60.09,19.82,5.3,6.4,10.1,1,0,0,0
A01,1570,60.33,20.74,11.3,22.8,1,1,0,0,0
A9-13,1570,60.37,21.29,357.8,11.3,1,1,0,0,0
FG,1570,60.11,19.81,35.4,11.4,1,1,0,0,0
FT,1570,60.05,20.65,13.9,29.2,1,1,0,0,0
FT,1570,60.05,20.65,13.6,16.2,6.1,1,0,0,0
JC,1570,60.09,19.8,20.1,0.3,1,1,0,0,0
NB,1570,60.07,20.6,16.5,20.4,3.7,1,0,0,0
FT,1570,60.05,20.65,350.6,41.3,1,1,0,0,0
Be,1570,60.6,20.6,8,8,1,1,0,0,0
Be,1570,60.3,20.62,14,19,9.9,1,0,0,0
Fo,1570,60.05,20.63,14,11,1,1,0,0,0
Kr,1570,60.06,20.63,14,-6,5.7,1,0,0,0
Ve,1570,59.95,20.56,13,10,1,1,0,0,0
Vi,1570,59.93,20.53,19,11,1,1,0,0,0
Vi,1570,59.94,20.52,2,12,1,1,0,0,0
Vi,1570,59.93,20.53,13,5,1,1,0,0,0
Tv,1570,60,20.6,6,-31,1,1,0,0,0
Fo,1570,60,20.6,11.2,-2.8,12.7,1,0,0,0
A02,1570,60.41,20.99,357.8,-19.3,16.4,1,0,0,0
A03,1570,60.42,20.99,356.9,-10.8,10.6,1,0,0,0
A04,1570,60.4,21.04,6.4,-21.7,24.9,1,0,0,0
A05,1570,60.4,21.04,345.6,-28.1,1,1,0,0,0
A06,1570,60.4,21.04,352.2,-19.7,30,1,0,0,0
A07,1570,60.4,21.04,358.4,-19.6,7.5,1,0,0,0
A08,1570,60.42,20.99,2.9,-28.9,2.1,1,0,0,0
A22,1570,60.42,20.99,14.4,-18.9,1,1,0,0,0
A14,1570,60.35,21.06,359.8,-25,7.6,1,0,0,0
A15,1570,60.35,21.06,353.9,-17.3,3.8,1,0,0,0
A16,1570,60.35,21.06,355.1,-21.8,7.7,1,0,0,0
A17,1570,60.35,21.06,355,-18.3,6.2,1,0,0,0
A18,1570,60.35,21.06,355.4,-22.5,6.1,1,0,0,0
A19,1570,60.35,21.06,351.7,-18.6,1,1,0,0,0
A20,1570,60.35,21.06,0.7,-21.5,8.1,1,0,0,0
A21,1570,60.35,21.06,356.7,-33.2,9.1,1,0,0,0
CG,1570,60.14,19.83,20.4,-25.1,1,1,0,0,0
DE,1570,60.26,20.99,6,-24.7,9,1,0,0,0
EK,1570,60.38,20.82,7.1,-30.5,1,1,0,0,0
FM,1570,60.23,20.82,22.8,-18.7,4.7,1,0,0,0
KB,1570,60.11,20.05,3.3,-5.6,22.5,1,0,0,0
KW,1570,60.11,20.05,3.6,-11,4.7,1,0,0,0
LU,1570,60.27,20.96,10.5,-19.6,9.4,1,0,0,0
RKRM,1570,60.3,20.85,7.8,-27.1,9.4,1,0,0,0
RKRM,1570,60.3,20.85,10.5,-22.2,3.2,1,0,0,0
VS,1570,60.13,19.65,8.8,-16.9,19.4,1,0,0,0
VS,1570,60.13,19.65,12,-6.9,8.2,1,0,0,0
VT,1570,59.92,20.05,6.7,-38.3,1,1,0,0,0
CG,1570,60.14,19.83,21.2,-24.4,1,1,0,0,0
A04,1570,60.4,21.04,333.5,-7.6,1,1,0,0,0
FM,1570,60.23,20.82,4.5,-29.5,1,1,0,0,0
KW,1570,60.11,20.05,29.6,-13.8,1,1,0,0,0
RKRM,1570,60.3,20.85,19.1,-8.1,1,1,0,0,0
VS,1570,60.13,19.65,356.8,-24.5,1,1,0,0,0
Ku,1570,60.3,20.8,12,-43,1,1,0,0,0
Br,1570,60.3,20.7,12.8,-25.4,17.3,1,0,0,0
Ko,1570,60.4,21,8,-24,1,1,0,0,0
Ko,1570,60.4,21,2,-28,1,1,0,0,0
NE,1570,60.4,20.83,15,-15,2.5,1,0,0,0
E,1570,60.3,20.83,10,-31,8.8,1,0,0,0
E,1570,60.29,20.8,9,-42,1,1,0,0,0
SW,1570,60.29,20.78,331,-50,13.6,1,0,0,0
Ku,1570,60.29,20.78,323,-49,8.5,1,0,0,0
Ku,1570,60.3,20.8,18.6,-30.2,7.9,1,0,0,0
