Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
65,2050,-24.5,29.78,16.3,41.5,3.6,1,0,0,0
1,2050,-24.23,29.03,27.8,50.4,5.3,1,0,0,0
26,2050,-23.99,28.9,360,50.5,12.4,1,0,0,0
68,2050,-24.4,30.01,359.9,52.9,6.8,1,0,0,0
22,2050,-25.62,27.8,14.1,56,2.6,1,0,0,0
13,2050,-25.61,27.66,5.7,58.1,4.7,1,0,0,0
6,2050,-24.14,28.98,2.2,58.2,3.8,1,0,0,0
12,2050,-24.05,28.9,0.3,58.8,9.5,1,0,0,0
3,2050,-24.15,28.96,6.7,58.8,8.4,1,0,0,0
13,2050,-24.07,28.97,345,59.8,4.1,1,0,0,0
50,2050,-25.5,29.93,11.8,60.2,2.7,1,0,0,0
21,2050,-25.6,27.87,15.5,60.2,4.3,1,0,0,0
8,2050,-24.01,28.87,8.7,61.1,12.1,1,0,0,0
20,2050,-25.62,27.58,13.6,61.1,5.6,1,0,0,0
56,2050,-25.5,29.93,17.1,61.8,7.5,1,0,0,0
24,2050,-25.52,27.32,1.9,62.3,4.8,1,0,0,0
4,2050,-24.15,28.96,356,62.9,17.4,1,0,0,0
43,2050,-25.5,29.92,9.9,63.4,2.4,1,0,0,0
2,2050,-24.16,28.97,13,63.5,7.2,1,0,0,0
26,2050,-25.55,27.33,351.4,63.5,2.2,1,0,0,0
25,2050,-25.54,27.33,359.3,63.5,3.5,1,0,0,0
46,2050,-25.5,29.92,14.1,63.7,1.5,1,0,0,0
51,2050,-25.5,29.92,27.8,64,1.9,1,0,0,0
5,2050,-28.96,28.98,355.5,64.2,6.9,1,0,0,0
37,2050,-25.61,27.5,1.9,64.3,3.2,1,0,0,0
30,2050,-25.53,27.33,350,64.4,2.4,1,0,0,0
19,2050,-25.6,27.69,16.7,64.5,5.8,1,0,0,0
25,2050,-23.99,28.9,343,64.6,12.5,1,0,0,0
55,2050,-25.5,29.93,25.3,64.7,3.3,1,0,0,0
53,2050,-25.49,29.63,34.6,64.7,7.1,1,0,0,0
35,2050,-25.55,27.43,351.8,64.9,2.9,1,0,0,0
21,2050,-23.95,28.84,358,65,2.9,1,0,0,0
7,2050,-24.03,28.9,13.2,65.2,3.3,1,0,0,0
36,2050,-25.53,27.37,345.9,65.2,3.7,1,0,0,0
11,2050,-25.61,28.05,359.6,65.2,2.8,1,0,0,0
4,2050,-24.89,30.13,23.8,65.6,8.2,1,0,0,0
47,2050,-25.5,29.91,17.4,65.7,1.1,1,0,0,0
44,2050,-25.5,29.92,30.2,65.7,2.8,1,0,0,0
48,2050,-25.5,29.91,12.2,65.9,1.4,1,0,0,0
42,2050,-25.5,29.93,9.3,66.4,2.4,1,0,0,0
31,2050,-25.55,27.37,356.5,66.6,2.2,1,0,0,0
45,2050,-25.5,29.92,6.2,66.7,1.6,1,0,0,0
41,2050,-25.55,27.43,13.8,66.7,3,1,0,0,0
17,2050,-25.61,28.08,6,67,2.4,1,0,0,0
27,2050,-23.98,28.9,330.5,67,4.8,1,0,0,0
29,2050,-25.53,27.34,355.3,67.1,2.9,1,0,0,0
14,2050,-25.61,27.62,5.3,67.4,2.1,1,0,0,0
49,2050,-25.5,29.92,9,67.4,0.9,1,0,0,0
33,2050,-25.57,27.37,359.1,67.6,3.1,1,0,0,0
63,2050,-24.5,29.77,5,67.7,3.8,1,0,0,0
58,2050,-25.5,29.97,24.7,67.7,3.3,1,0,0,0
10,2050,-25.63,28.21,3.2,68.1,3.1,1,0,0,0
8,2050,-25.5,30.01,19.3,68.2,2.8,1,0,0,0
18,2050,-25.62,28.2,9.1,68.3,2.5,1,0,0,0
9,2050,-25.37,29.85,9.8,68.6,9,1,0,0,0
27,2050,-25.55,27.35,359.4,68.6,5.2,1,0,0,0
34,2050,-25.58,27.39,356.5,68.8,2.2,1,0,0,0
14,2050,-24.06,28.97,4.3,69,4,1,0,0,0
54,2050,-25.49,29.62,24.4,70.2,2.4,1,0,0,0
57,2050,-25.38,29.84,352,70.5,8,1,0,0,0
15,2050,-25.62,27.64,17.3,70.6,1.6,1,0,0,0
52,2050,-25.49,29.38,38.5,70.8,8.7,1,0,0,0
16,2050,-25.58,27.64,11.7,71.9,2.2,1,0,0,0
24,2050,-23.88,28.82,345.9,72,13,1,0,0,0
32,2050,-25.56,27.37,1.1,72.2,1.5,1,0,0,0
28a,2050,-25.54,27.34,19.4,72.9,5.9,1,0,0,0
38,2050,-25.6,27.54,352.7,73.1,3.5,1,0,0,0
23,2050,-25.51,27.31,357.2,73.1,3.4,1,0,0,0
22,2050,-23.93,28.84,339.9,74.2,3.3,1,0,0,0
12,2050,-25.58,27.67,5.8,74.5,2.2,1,0,0,0
59,2050,-25.5,30.01,320,74.9,4.4,1,0,0,0
11,2050,-24.04,28.9,359.6,75.3,3.9,1,0,0,0
10,2050,-24.03,28.9,338.7,75.4,5.1,1,0,0,0
