Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
M+85OM1,201,40.90833333,285.8208333,354.5,25.6,8.9,1,0,0,0
M+85OM2,201,40.79583333,285.7411111,4,28.4,14.2,1,0,0,0
M+85OM3,201,40.79583333,285.7411111,0.2,31.4,6.5,1,0,0,0
M+85OM4,201,40.7975,285.7411111,355.1,32.6,3,1,0,0,0
M+85OM5,201,40.64361111,285.3680556,5.3,30.9,6.2,1,0,0,0
M+85P6,201,40.79111111,285.7508333,14.4,0.8,6.3,1,0,0,0
M+85P7,201,40.80027778,285.7233333,15.8,9.9,6.7,1,0,0,0
M+85P9,201,40.64416667,285.3991667,11.2,17.3,2.9,1,0,0,0
M+85P11,201,40.67,285.3691667,9.4,22.6,4.6,1,0,0,0
M+85P12,201,40.67111111,285.3794444,6.5,49.2,6.1,1,0,0,0
M+85P13,201,40.6725,285.3869444,8.4,40.3,4.9,1,0,0,0
M+85P14,201,40.67722222,285.3919444,3.8,45.8,9.3,1,0,0,0
M+85HM15,201,40.86194444,285.6586111,7.1,29.5,4.2,1,0,0,0
M+85HM16,201,40.86194444,285.6586111,4.8,12.2,4.9,1,0,0,0
M+85HM17,201,40.81611111,285.6752778,357.6,36.2,5,1,0,0,0
M+85HM18,201,40.76861111,285.5080556,5.9,30.1,5.9,1,0,0,0
SN79WR2,201,41.36666667,287.0333333,1.8,29.8,2.9,1,0,0,0
SN79WR3,201,41.36666667,287.2166667,10.3,34.6,3.9,1,0,0,0
SN79WR4,201,41.38333333,287.05,9.8,35.8,4.2,1,0,0,0
SN79WR7,201,41.4,287.0666667,0.4,41.5,7.7,1,0,0,0
SN79WR8,201,41.4,287.0666667,9.7,41,1.9,1,0,0,0
SN79WR9,201,41.4,287.0666667,7.6,35.5,2.3,1,0,0,0
SN79WR12,201,41.53333333,287.0666667,6.5,52.9,4.5,1,0,0,0
SN79ER1,201,41.35,287.05,20.8,34.6,2.5,1,0,0,0
SN79ER2,201,41.35,287.05,9.2,43.7,3,1,0,0,0
SN79ER3,201,41.35,287.0666667,13.4,38.4,4.7,1,0,0,0
