Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
1,1270,65.7,17.3,34.9,-33.7,6.1,1,0,0,0
2,1270,65,17.6,29.6,-43.3,8.1,1,0,0,0
3,1270,64.8,17.6,44.9,-41.5,4.4,1,0,0,0
4,1270,64.7,17.9,55.6,-31.8,14.1,1,0,0,0
5,1270,64.7,18.4,46.7,-39.1,8.4,1,0,0,0
6,1270,64.6,18.4,42.7,-49.6,6.7,1,0,0,0
7,1270,64.6,18.2,55.7,-59.5,10.7,1,0,0,0
8,1270,64.5,18.6,56.5,-52.8,3.3,1,0,0,0
9,1270,64.5,18.5,40.3,-56.7,11.1,1,0,0,0
10,1270,64.4,17.5,46,-38.5,13.8,1,0,0,0
11,1270,64,17,15,-20.6,3.3,1,0,0,0
12,1270,63.2,19,55.1,-38.3,3.3,1,0,0,0
13,1270,63.4,18.6,48.7,-52.4,4.8,1,0,0,0
14,1270,63,18.6,39.7,-38.3,9.2,1,0,0,0
15,1270,62.4,17.6,49.1,-51.7,3.3,1,0,0,0
16,1270,63.1,15.54,39.9,-36.1,7.7,1,0,0,0
17,1270,63.1,15.19,39.5,-44.9,5.4,1,0,0,0
18,1270,63.09,15.07,48.7,-29,10.5,1,0,0,0
19,1270,63.02,14.95,39.8,-37.5,7.1,1,0,0,0
20,1270,62.85,14.53,29,-26,6,1,0,0,0
21,1270,62.64,15.78,37.2,-28.9,13.1,1,0,0,0
22,1270,62.64,15.94,46.8,-58.7,12.1,1,0,0,0
23,1270,62.59,14.5,46,-18,8,1,0,0,0
24,1270,62.51,16.03,44.7,-59.2,9.6,1,0,0,0
25,1270,62.4,14.5,31,-19,8,1,0,0,0
26,1270,62.38,15.47,61.2,-73.3,5.3,1,0,0,0
27,1270,62.33,16.31,32.2,-40.1,14.4,1,0,0,0
28,1270,62.24,15.09,28,-16,7,1,0,0,0
29,1270,62.06,14.5,28,-34,4,1,0,0,0
30,1270,60.8,17.4,24.7,-16.9,6.8,1,0,0,0
31,1270,60.7,17.4,11.3,-19.2,3.7,1,0,0,0
32,1270,61.1,21.9,39.5,-40.8,5.5,1,0,0,0
33,1270,61.1,22.1,46.3,-37.6,2.8,1,0,0,0
34,1270,61.1,22.2,53.2,-36.6,4.8,1,0,0,0
35,1270,61.3,21.9,41.8,-48.8,7.4,1,0,0,0
36,1270,61.4,21.7,47.4,-44.5,4.4,1,0,0,0
37,1270,61.3,21.7,42.8,-36.4,4.1,1,0,0,0
38,1270,61.3,21.8,41.4,-36.7,5.6,1,0,0,0
