Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
DK1*,2367,16.815,78.844,67,-64,9,1,0,0,0
DK2*,2367,16.816,78.845,114,-69,4,1,0,0,0
DG2*,2367,15.551,77.783,56,-72,4,1,0,0,0
DG3*,2367,15.564,77.805,68,-71,5,1,0,0,0
DG4*,2367,15.56,77.841,87,-67,7,1,0,0,0
DG17*,2367,15.348,77.768,89,-69,8,1,0,0,0
Site14*,2367,14.14,77.63,83,-77,4,1,0,0,0
Site16*,2367,14.17,77.74,22,-84,5,1,0,0,0
71*,2367,14.196,77.81,75,-72,4,1,0,0,0
596*,2367,14.192,77.796,85,-80,5,1,0,0,0
BU*,2367,14.198,77.808,91,-75,5,1,0,0,0
16*,2367,13.183,77.041,339,-81,6,1,0,0,0
28*,2367,13.334,79.405,76,-70,7,1,0,0,0
41*,2367,13.54,79.005,117,-79,5,1,0,0,0
45*,2367,13.533,79.016,151,-78,7,1,0,0,0
62*,2367,14.156,78.151,74,-85,7,1,0,0,0
592*,2367,14.313,77.637,54,-86,9,1,0,0,0
GR*,2367,13.972,77.834,58,-72,11,1,0,0,0
GT*,2367,14.23,77.632,80,-82,9,1,0,0,0
P38*,2367,14.45,77.7,16,-77,10,1,0,0,0
P53*,2367,17.22,80.11,125,-85,13,1,0,0,0
P21*,2367,14.23,78.75,23,-68,9,1,0,0,0
P37*,2367,12.06,79.35,198,-76,3,1,0,0,0
P58*,2367,12.11,79.25,175,-76,6,1,0,0,0
P42*,2367,12.2,78.9,130,-72,5,1,0,0,0
Dyke3*,2367,18.127,79.22,69,-65,11,1,0,0,0
Dyke2*,2367,17.504,78.869,103,-67,7,1,0,0,0
P3*,2367,12.649,77.496,143,-79,6,1,0,0,0
P16*,2367,13.509,76.582,77,-82,12,1,0,0,0
3+4*,2367,11.98,77.03,51,-76,7,1,0,0,0
10*,2367,11.89,76.95,30,70,6,1,0,0,0
12*,2367,12.04,78.52,126,-71,8,1,0,0,0
16*,2367,12.58,77.98,39,-81,6,1,0,0,0
17*,2367,12.63,78.07,186,-85,13,1,0,0,0
18*,2367,13.49,76.58,105,-74,11,1,0,0,0
20*,2367,14.31,76.63,73,-76,10,1,0,0,0
T3*,2367,12.09,78.92,130,-74,3,1,0,0,0
D7*,2367,12.08,77.89,106,-76,5,1,0,0,0
T4*,2367,12.06,79.01,114,-68,10,1,0,0,0
T5*,2367,12.05,79.03,307,-77,4,1,0,0,0
T7*,2367,12.05,79.08,92,-71,7,1,0,0,0
12*,2367,12.66,77.5,135,-85,6,1,0,0,0
15*,2367,12.65,77.42,73,-78,7,1,0,0,0
16*,2367,12.66,77.42,60,-81,7,1,0,0,0
E*,2367,12.11,79.07,115,-75,7,1,0,0,0
