Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
F+71-3  200 Oe,717,67.5,241.8,262,33,2,1,0,0,0
F+71-4  150 Oe,717,67.4,242,264,43,6,1,0,0,0
F+71-6  250 Oe,717,67.75,248.4,266,23,4,1,0,0,0
F+71-7  250 Oe,717,67.45,250.2,272,43,2,1,0,0,0
F+71-8  250 Oe,717,67.4,251.5,270,20,3,1,0,0,0
F+71-10  300 Oe,717,70.85,284.5,273,-5,8,1,0,0,0
F+71-13  200 Oe,717,70.8,284.2,307,-24,5,1,0,0,0
F+71-18  300 Oe,717,71.4,282.4,296,-26,12,1,0,0,0
F+71-19  500 Oe,717,71.3,282.5,298,-26,5,1,0,0,0
F+71-20  200 Oe,717,71.2,281.6,301,-7,8,1,0,0,0
F+71-21  400 Oe,717,69.85,289.7,303,-22,14,1,0,0,0
F+71-23  400 Oe,717,69.75,288.8,288,-5,15,1,0,0,0
F+71-25  300 Oe,717,69.45,289.4,313,29,3,1,0,0,0
F+71-29  250 Oe,717,64.5,283,278,20,8,1,0,0,0
FS73-3  250 Oe,717,67.95,292,300,-18,10.5,1,0,0,0
FS73-4  200 Oe,717,68.5,290.7,311,-4,9.6,1,0,0,0
FS73-38  200 Oe,717,67.05,296.4,306,-17,11.4,1,0,0,0
CF83-50  450 Oe,717,72.85,276.75,314,4,14,1,0,0,0
CF83-56  350 Oe,717,72.8,276.4,305,-15,12,1,0,0,0
CF83-59  400 Oe,717,72.85,276.35,303,0,8,1,0,0,0
CF83-61  500 Oe,717,73,276.45,311,13,8,1,0,0,0
P+83-20 anchor,717,71.85,247.6,282,16,13.4,1,0,0,0
P+83-21 anchor,717,71.85,247.6,264,-21,4.1,1,0,0,0
P+83-22 anchor,717,71.85,247.6,266,17,7.3,1,0,0,0
P+83-9  anchor,717,71.85,247.6,274,21,13.3,1,0,0,0
P+83-8  anchor,717,71.85,247.6,272,24,11.5,1,0,0,0
P+83-29 anchor,717,71.85,247.65,279,38,5.2,1,0,0,0
P+83-36 anchor,717,71.85,247.75,271,26,4.1,1,0,0,0
F+71-1  200 Oe,717,67.9,243.2,260,-1,5,1,0,0,0
F+71-2  100 Oe,717,67.9,245.5,259,10,5,1,0,0,0
F+71-26  250 Oe (Boothia),717,70.2,268.2,295,13,4,1,0,0,0
F+71-27  250 Oe (Boothia),717,70.7,266.8,292,12,11,1,0,0,0
F+71-28  250 Oe (Ungava),717,61.3,285,300,12,3,1,0,0,0
FS73-1  250 Oe,717,68.6,289,303,1,6.5,1,0,0,0
FS73-5  200 Oe,717,68.2,289.95,307,0,3.2,1,0,0,0
FS73-8  200 Oe,717,66.7,296.1,306,-20,7.6,1,0,0,0
FS73-39  300 Oe,717,66.75,297.2,296,-7,8.5,1,0,0,0
FS73-40  250 Oe,717,66.5,295.7,302,-31,10.5,1,0,0,0
P74-31 Melville Pen,717,64.1,270.2,291,-3,11.1,1,0,0,0
P74-33 Melville Pen,717,64.1,270.2,291,-17,11.7,1,0,0,0
PH75-16D,717,70.7,242.2,258,11.6,9,1,0,0,0
PH75-17D,717,70.7,242.2,262.4,-3.1,8.9,1,0,0,0
PH75-19D,717,70.7,242.3,256.1,3.8,6.3,1,0,0,0
P81-6   mixed,717,68.4,238.7,261,34,6.5,1,0,0,0
P81-10  R only,717,68.4,237.8,245,-19,14.9,1,0,0,0
P81-14  mixed,717,68.4,238.8,262,-4,7.5,1,0,0,0
CF83-03/7922/7923/7924,717,73.05,274.6,296.8,2.3,,1,0,0,0
CF83-46  200 Oe,717,72.45,278.1,298,-1,8,1,0,0,0
CF83-48  500 Oe,717,72.7,277.8,314,-9,12,1,0,0,0
CF83-67  300 Oe,717,72.5,276.05,303,-9,12,1,0,0,0
CF83-7917/7920,717,72.35,278.15,310.8,-0.3,,1,0,0,0
P+83-19 anchor,717,71.85,247.6,278,1,5.2,1,0,0,0
P+83-18 anchor,717,71.85,247.6,265,1,6,1,0,0,0
P+83-17 anchor,717,71.85,247.6,265,7,4.3,1,0,0,0
P+83-16 anchor,717,71.85,247.6,267,18,4,1,0,0,0
P+83-14 anchor,717,71.85,247.6,267,2,8.6,1,0,0,0
