Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
NN02,183,-30.761,28.089,-33.4,-42.1,3.3,1,0,0,0
NN03,183,-30.7612,28.0882,-30.6,-38,6.2,1,0,0,0
NN04,183,-30.7612,28.0873,-27.1,-45.3,4.4,1,0,0,0
NN05,183,-30.7603,28.0862,-21.3,-55.6,3.4,1,0,0,0
NN06,183,-30.7601,28.086,-11.5,-60.8,6.3,1,0,0,0
NN07,183,-30.7592,28.085,-12.6,-56,7,1,0,0,0
NN08,183,-30.7589,28.0843,-15.5,-57.7,2.5,1,0,0,0
NN09,183,-30.7588,28.0839,-9.3,-58.2,4,1,0,0,0
NN10,183,-30.759,28.0831,-18.8,-52.3,1.5,1,0,0,0
NN11,183,-30.7597,28.0831,-16.2,-59.3,2,1,0,0,0
NN12,183,-30.7603,28.083,-17.9,-51.1,2.6,1,0,0,0
NN13,183,-30.7601,28.0815,-15.1,-53.5,2.5,1,0,0,0
NN14B,183,-30.7595,28.079,-40,-63.1,3.1,1,0,0,0
NN15,183,-30.7582,28.0752,-30,-60.4,2.9,1,0,0,0
NN16,183,-30.76,28.0761,-29.3,-63.7,1.7,1,0,0,0
NN17,183,-30.7595,28.0757,-29,-61,2.3,1,0,0,0
NN18,183,-30.7589,28.0744,-37.3,-61,5.5,1,0,0,0
NN19,183,-30.7596,28.0736,-1.3,-55.2,4.4,1,0,0,0
NN20,183,-30.759,28.073,-19.5,-54.9,5.7,1,0,0,0
NN21,183,-30.7587,28.0714,-12.3,-54.8,4,1,0,0,0
NN22,183,-30.7584,28.0703,-17.8,-52.4,3.6,1,0,0,0
NN23,183,-30.7581,28.0694,-9.5,-54.4,1.6,1,0,0,0
NN24,183,-30.758,28.0688,-24.6,-59.8,4.5,1,0,0,0
NN25,183,-30.7615,28.0653,-25.7,-56.4,2.4,1,0,0,0
NN26B,183,-30.7628,28.0645,-28.2,-57.3,2.1,1,0,0,0
NN27,183,-30.7624,28.0632,-38.9,-61.2,6.2,1,0,0,0
NN28,183,-30.7611,28.0636,-33.1,-62.1,3.2,1,0,0,0
NN29,183,-30.7602,28.0641,-31.1,-54.8,10.9,1,0,0,0
NN30,183,-30.7594,28.0641,-30.2,-46.6,1.3,1,0,0,0
NN31,183,-30.7591,28.0641,-29.4,-48.8,4.4,1,0,0,0
NN32,183,-30.7592,28.0627,-27,-49.2,5.1,1,0,0,0
NN33,183,-30.758,28.0609,-18.9,-58.2,4,1,0,0,0
NN35A,183,-30.7542,28.063,-16.5,-54.3,7,1,0,0,0
NN35C,183,-30.7561,28.0595,-5.2,-66.4,4.7,1,0,0,0
ND54,183,-30.753,28.0336,-9.7,-44.7,8.8,1,0,0,0
KP96M101,183,-29.07,28.38,328.1,-74.9,3,1,0,0,0
KP96M100,183,-29.07,28.38,328.5,-75.8,2,1,0,0,0
KP96M95,183,-29.07,28.38,337.1,-58.3,2.9,1,0,0,0
KP96M93,183,-29.07,28.38,334.5,-54,3.1,1,0,0,0
KP96M91,183,-29.07,28.38,335.2,-54.5,2.4,1,0,0,0
KP96M89,183,-29.07,28.38,336.2,-54.1,2.4,1,0,0,0
KP96M88,183,-29.07,28.38,334.9,-54.8,2,1,0,0,0
KP96M86,183,-29.07,28.38,336,-49.9,1.3,1,0,0,0
KP96M84,183,-29.07,28.38,333.3,-54,1.9,1,0,0,0
KP96M82,183,-29.07,28.38,333.1,-52.8,2.9,1,0,0,0
KP96M80,183,-29.07,28.38,333,-55.4,1.3,1,0,0,0
KP96M76,183,-29.07,28.38,334.8,-54.1,1.8,1,0,0,0
KP96M71,183,-29.07,28.38,333.4,-52.8,2,1,0,0,0
KP96M69,183,-29.07,28.38,352.7,-65.9,3.2,1,0,0,0
KP96M67,183,-29.07,28.38,0.3,-70.2,0.8,1,0,0,0
KP96M66,183,-29.07,28.38,344.6,-59.6,4.9,1,0,0,0
KP96M64,183,-29.07,28.38,350,-59.8,4.6,1,0,0,0
KP96M61,183,-29.07,28.38,345.2,-52.4,2.8,1,0,0,0
KP96M59,183,-29.07,28.38,342.9,-53.6,1.3,1,0,0,0
KP96M55,183,-29.07,28.38,344,-65.8,1.7,1,0,0,0
KP96M53,183,-29.07,28.38,348.9,-63.7,2,1,0,0,0
KP96M51,183,-29.07,28.38,334.4,-52.4,3.4,1,0,0,0
KP96M49,183,-29.07,28.38,332.8,-52.9,3.6,1,0,0,0
KP96M47,183,-29.07,28.38,348.3,-52.2,2.2,1,0,0,0
KP96M45,183,-29.07,28.38,353.3,-58.3,2,1,0,0,0
KP96M43,183,-29.07,28.38,357.7,-54.8,4.1,1,0,0,0
KP96M39,183,-29.07,28.38,339.6,-58.4,5.4,1,0,0,0
KP96M37,183,-29.07,28.38,334.6,-62.9,3.7,1,0,0,0
KP96M35,183,-29.07,28.38,334.4,-60.7,2.3,1,0,0,0
KP96M33,183,-29.07,28.38,336.1,-61.2,3.7,1,0,0,0
KP96M30,183,-29.07,28.38,334.3,-40.3,3,1,0,0,0
KP96M29,183,-29.07,28.38,333.5,-36.2,2.6,1,0,0,0
KP96M27,183,-29.07,28.38,330.4,-38.2,4.6,1,0,0,0
KP96M26,183,-29.07,28.38,330.7,-38,2.7,1,0,0,0
KP96M24,183,-29.07,28.38,331.7,-35.3,2.2,1,0,0,0
KP96M22,183,-29.07,28.38,330.9,-51.9,2.7,1,0,0,0
KP96M21,183,-29.07,28.38,325.6,-50,1.2,1,0,0,0
KP96M18,183,-29.07,28.38,341.4,-48.8,5,1,0,0,0
KP96M17,183,-29.07,28.38,343.1,-46.7,5.6,1,0,0,0
KP96M15,183,-29.07,28.38,343.9,-49.9,1.9,1,0,0,0
KP96M13,183,-29.07,28.38,340.6,-53.3,5.4,1,0,0,0
KP96M11,183,-29.07,28.38,337.3,-53,4.7,1,0,0,0
KP96M9,183,-29.07,28.38,340.2,-53.5,5.3,1,0,0,0
KP96M7,183,-29.07,28.38,338.8,-52.4,1.2,1,0,0,0
KP96M3,183,-29.07,28.38,336.9,-51.7,4.1,1,0,0,0
KP96M1,183,-29.07,28.38,334.8,-60.7,1.4,1,0,0,0
MJ65MSV,183,-19.63,32.37,319.3,-59.3,1,1,0,0,0
MJ65UMS,183,-20.32,32.15,318.5,-35.7,1,1,0,0,0
MJ65UMD1,183,-20.32,32.15,319.8,-58.6,1,1,0,0,0
MJ65UMD2,183,-20.32,32.15,8.1,-57.7,1,1,0,0,0
B+6211b,183,-77.4,162,244,-65,1,1,10.5,148.8,-58.2
B+6211c,183,-77.4,162,310,-83,1,1,10.5,148.8,-58.2
B+6211d,183,-77.4,162,283,-61,1,1,10.5,148.8,-58.2
B+6211f,183,-77.4,162,235,-67,1,1,10.5,148.8,-58.2
B+6211g,183,-77.4,162,264,-69,1,1,10.5,148.8,-58.2
B+6211h,183,-77.4,162,274,-83,1,1,10.5,148.8,-58.2
B+6211i,183,-77.4,162,248,-48,1,1,10.5,148.8,-58.2
B+6211j,183,-77.4,162,233,-66,1,1,10.5,148.8,-58.2
B+6211k,183,-77.4,162,235,-58,1,1,10.5,148.8,-58.2
B+6211l,183,-77.4,162,262,-77,1,1,10.5,148.8,-58.2
B+6211m,183,-77.4,162,250,-67,1,1,10.5,148.8,-58.2
B+6213a,183,-77.3,161.1,275,-67,1,1,10.5,148.8,-58.2
B+6213b,183,-77.3,161.1,231,-77,1,1,10.5,148.8,-58.2
B+6213c,183,-77.3,161.1,241,-55,1,1,10.5,148.8,-58.2
B+6213d,183,-77.3,161.1,232,-72,1,1,10.5,148.8,-58.2
B+6213e,183,-77.3,161.1,254,-48,1,1,10.5,148.8,-58.2
B+6213f,183,-77.3,161.1,199,-72,1,1,10.5,148.8,-58.2
B+6214a,183,-77.3,161.1,220,-63,1,1,10.5,148.8,-58.2
B+6214b,183,-77.3,161.1,248,-61,1,1,10.5,148.8,-58.2
B+6214c,183,-77.3,161.1,274,-69,1,1,10.5,148.8,-58.2
B+6214d,183,-77.3,161.1,233,-73,1,1,10.5,148.8,-58.2
B+6214e,183,-77.3,161.1,207,-73,1,1,10.5,148.8,-58.2
B+6214f,183,-77.3,161.1,272,-65,1,1,10.5,148.8,-58.2
B+6214g,183,-77.3,161.1,227,-62,1,1,10.5,148.8,-58.2
B+6214h,183,-77.3,161.1,224,-66,1,1,10.5,148.8,-58.2
B+6214i,183,-77.3,161.1,264,-73,1,1,10.5,148.8,-58.2
B+6215a,183,-77.4,161.8,272,-64,1,1,10.5,148.8,-58.2
B+6215b,183,-77.4,161.8,289,-64,1,1,10.5,148.8,-58.2
B+6216a,183,-77.3,161.1,208,-45,1,1,10.5,148.8,-58.2
B+6216b,183,-77.3,161.1,230,-63,1,1,10.5,148.8,-58.2
B+6216c,183,-77.3,161.1,261,-57,1,1,10.5,148.8,-58.2
B+6216d,183,-77.3,161.1,236,-62,1,1,10.5,148.8,-58.2
B+6216e,183,-77.3,161.1,237,-63,1,1,10.5,148.8,-58.2
B+6216f,183,-77.3,161.1,247,-68,1,1,10.5,148.8,-58.2
B+6217b,183,-77.4,161.1,217,-77,1,1,10.5,148.8,-58.2
B+6217c,183,-77.4,161.1,233,-80,1,1,10.5,148.8,-58.2
B+6217d,183,-77.4,161.1,253,-66,1,1,10.5,148.8,-58.2
B+6218a,183,-77.4,161.9,275,-58,1,1,10.5,148.8,-58.2
B+6218b,183,-77.4,161.9,239,-79,1,1,10.5,148.8,-58.2
B+6218c,183,-77.38333333,161.8666667,221,-50,1,1,10.5,148.8,-58.2
B+6218d,183,-77.38333333,161.8666667,240,-66,1,1,10.5,148.8,-58.2
B+6218e,183,-77.38333333,161.8666667,246,-66,1,1,10.5,148.8,-58.2
B+6219a,183,-77.38333333,162,235,-58,1,1,10.5,148.8,-58.2
B+6219b,183,-77.38333333,162,225,-70,1,1,10.5,148.8,-58.2
B+6219c,183,-77.38333333,162,241,-59,1,1,10.5,148.8,-58.2
B+6219d,183,-77.38333333,162,245,-48,1,1,10.5,148.8,-58.2
B+6220a,183,-77.28333333,161.7166667,214,-58,1,1,10.5,148.8,-58.2
B+6220b,183,-77.28333333,161.7166667,246,-63,1,1,10.5,148.8,-58.2
B+6220c,183,-77.28333333,161.7166667,226,-63,1,1,10.5,148.8,-58.2
B+6220d,183,-77.28333333,161.7166667,233,-67,1,1,10.5,148.8,-58.2
B+6220e,183,-77.28333333,161.7166667,231,-66,1,1,10.5,148.8,-58.2
T59CH,183,-72,171,-28,-80,4.2,1,10.5,148.8,-58.2
T59FG1,183,-78,161,-85,-79,7.6,1,10.5,148.8,-58.2
T59FG2,183,-78,161,-68,-77,4.9,1,10.5,148.8,-58.2
T59FG3,183,-78,161,-82,-76,4.6,1,10.5,148.8,-58.2
T59FG4,183,-78,161,-73,-72,6.8,1,10.5,148.8,-58.2
T59FG5,183,-78,161,-77,-75,8.7,1,10.5,148.8,-58.2
LZ93Bow1,183,-75.8,161.1,227.2,-87.2,1.7,1,10.5,148.8,-58.2
LZ93Bow2,183,-75.8,161,273.4,-87.5,2.5,1,10.5,148.8,-58.2
LZ93Bill1,183,-75.7,160.9,345.9,-87.3,2.4,1,10.5,148.8,-58.2
LZ93Bill2,183,-75.7,160.9,303.8,-84.7,2.3,1,10.5,148.8,-58.2
LZ93Joy1,183,-75.6,160.8,257.9,-71.1,6,1,10.5,148.8,-58.2
LZ93Joy2,183,-75.6,160.8,260,-75.3,3.1,1,10.5,148.8,-58.2
LZ93BD,183,-75.6,161.1,268.6,-86.5,4.3,1,10.5,148.8,-58.2
LZ93Fear1,183,-75.1,161.7,265.9,-63.6,6.4,1,10.5,148.8,-58.2
LZ93Fear2,183,-75.1,161.7,264.6,-68.3,3.1,1,10.5,148.8,-58.2
LZ93TP,183,-74.6,162.3,243.3,-66.4,4.4,1,10.5,148.8,-58.2
LZ93SR1,183,-74.5,161.6,313.4,-88.9,2,1,10.5,148.8,-58.2
LZ93SR3,183,-74.4,161.7,3.3,-80.2,2.7,1,10.5,148.8,-58.2
LZ93SR4,183,-74.4,161.7,247,-71.8,1.5,1,10.5,148.8,-58.2
LZ93SR5,183,-74.4,161.8,261.7,-66.5,2.8,1,10.5,148.8,-58.2
LZ93SR6,183,-74.4,161.8,275,-61.4,5.6,1,10.5,148.8,-58.2
LZ93SR7,183,-74.4,161.9,256.9,-72,2.4,1,10.5,148.8,-58.2
LZ93SR8,183,-74.3,161.9,276,-71.9,5.3,1,10.5,148.8,-58.2
LZ93SR9,183,-74.3,161.9,245.5,-69.7,3.7,1,10.5,148.8,-58.2
LZ93Adam1,183,-74,163,244.2,-61.9,4.2,1,10.5,148.8,-58.2
LZ93Adam2,183,-73.9,163,296.3,-67.4,2.6,1,10.5,148.8,-58.2
LZ93Adam3,183,-73.9,163,241.9,-66.3,2,1,10.5,148.8,-58.2
LZ93AR,183,-73.7,162.6,285.5,-67.4,8,1,10.5,148.8,-58.2
LG83CP1,183,-66.8,296,85,-66,22,1,10.5,148.8,-58.2
LG83CP2,183,-66.8,296,91,-71,7,1,10.5,148.8,-58.2
LG83MHG,183,-66.8,296,91,-71,7.2,1,10.5,148.8,-58.2
LG83JPL,183,-66.3,298.5,110,-75,1,1,10.5,148.8,-58.2
I63TD1,183,-42.83333333,147.3166667,63,-78,1,1,19.5,117.8,-56.2
I63TD2,183,-42.86666667,147.3166667,258,-77,1,1,19.5,117.8,-56.2
I63TD3,183,-42.86666667,147.3666667,234,-76,1,1,19.5,117.8,-56.2
I63TD4,183,-43.11666667,147.2666667,54,-74,1,1,19.5,117.8,-56.2
I63TD5,183,-43.16666667,147.2,279,-86,1,1,19.5,117.8,-56.2
I63TD6,183,-43.1,147.0166667,134,-85,1,1,19.5,117.8,-56.2
I63TD7,183,-43.05,147.0333333,281,-70,1,1,19.5,117.8,-56.2
I63TD8,183,-43.03333333,147.0333333,202,-81,1,1,19.5,117.8,-56.2
I63TD9,183,-42.93333333,147.2333333,294,-61,1,1,19.5,117.8,-56.2
I63TD10,183,-42.7,146.95,290,-76,1,1,19.5,117.8,-56.2
I63TD11,183,-42.55,146.8666667,288,-72,1,1,19.5,117.8,-56.2
I63TD12,183,-42.38333333,146.5833333,123,-78,1,1,19.5,117.8,-56.2
I63TD13,183,-42.3,146.4666667,232,-86,1,1,19.5,117.8,-56.2
I63TD14,183,-42.28333333,146.5,356,-84,1,1,19.5,117.8,-56.2
I63TD15,183,-42.28333333,146.2833333,308,-80,1,1,19.5,117.8,-56.2
I63TD16,183,-42.28333333,146.2833333,6,-85,1,1,19.5,117.8,-56.2
I63TD17,183,-42.26666667,146.2833333,76,-87,1,1,19.5,117.8,-56.2
I63TD18,183,-42.1,146.5,24,-82,1,1,19.5,117.8,-56.2
I63TD19,183,-42.55,147.2,330,-76,1,1,19.5,117.8,-56.2
I63TD20,183,-42.46666667,147.2166667,227,-76,1,1,19.5,117.8,-56.2
I63TD21,183,-42.36666667,147,269,-75,1,1,19.5,117.8,-56.2
I63TD22,183,-41.9,146.6666667,257,-86,1,1,19.5,117.8,-56.2
I63TD23,183,-41.25,146.4166667,16,-80,1,1,19.5,117.8,-56.2
I63TD24,183,-41.45,147.15,16,-88,1,1,19.5,117.8,-56.2
I63TD25,183,-42.95,147.8833333,357,-71,1,1,19.5,117.8,-56.2
I63TD26,183,-42.56666667,147.85,28,-78,1,1,19.5,117.8,-56.2
I63TD27,183,-42.48333333,147.9166667,1,-80,1,1,19.5,117.8,-56.2
I63TD28,183,-42.16666667,148.0333333,68,-81,1,1,19.5,117.8,-56.2
I63TD29,183,-42.01666667,148.0333333,30,-86,1,1,19.5,117.8,-56.2
I63TD30,183,-41.98333333,148.1333333,134,-87,1,1,19.5,117.8,-56.2
I63TD31,183,-42.86666667,147.2833333,324,-69,1,1,19.5,117.8,-56.2
I63TD32,183,-42.31666667,147.3333333,12,-75,1,1,19.5,117.8,-56.2
I63TD33,183,-42.96666667,147.2,334,-79,1,1,19.5,117.8,-56.2
I63TD34,183,-43.25,147.0333333,228,-70,1,1,19.5,117.8,-56.2
I63TD35,183,-43.2,147,348,-83,1,1,19.5,117.8,-56.2
I63TD36,183,-43.2,147,289,-79,1,1,19.5,117.8,-56.2
I63TD37,183,-43.1,147,331,-87,1,1,19.5,117.8,-56.2
I63TD38,183,-43,147.3,11,-71,1,1,19.5,117.8,-56.2
I63TD39,183,-42.9,147.2,110,-79,1,1,19.5,117.8,-56.2
I63TD40,183,-42.9,147.2,317,-81,1,1,19.5,117.8,-56.2
I63TD41,183,-42.9,147.2,271,-83,1,1,19.5,117.8,-56.2
I63TD42,183,-42.9,147.2,324,-68,1,1,19.5,117.8,-56.2
I63TD43,183,-42.9,147.2,324,-70,1,1,19.5,117.8,-56.2
I63TD44,183,-42.9,147.2,323,-80,1,1,19.5,117.8,-56.2
I63TD45,183,-42.9,147.2,265,-81,1,1,19.5,117.8,-56.2
I63TD46,183,-42.9,147.2,318,-80,1,1,19.5,117.8,-56.2
I63TD47,183,-42.9,147.2,340,-86,1,1,19.5,117.8,-56.2
I63TD48,183,-42.9,147.2,54,-80,1,1,19.5,117.8,-56.2
I63TD49,183,-42.9,147.2,2,-78,1,1,19.5,117.8,-56.2
S76aK1,183,-35.6,137.5,272.7,-72.7,1,1,19.5,117.8,-56.2
S76aK2,183,-35.6,137.5,298.7,-60.9,1,1,19.5,117.8,-56.2
ND61,183,-30.7526,28.0195,332.1,-36,4.9,1,0,0,0
ND62,183,-30.7515,28.0185,328.1,-39.3,3.2,1,0,0,0
ND63,183,-30.7508,28.0182,324.9,-34.9,7.6,1,0,0,0
ND64,183,-30.7534,28.0133,332.2,-40.2,2.8,1,0,0,0
ND65,183,-30.7541,28.013,339.6,-42.5,4.9,1,0,0,0
ND66,183,-30.7546,28.0125,336.1,-42.7,3.2,1,0,0,0
NC07,183,-30.7581,28.0111,346,-50.2,3.8,1,0,0,0
NC06,183,-30.7585,28.0109,333.9,-54.8,2.8,1,0,0,0
NC05,183,-30.7586,28.0106,332.6,-51.1,2.2,1,0,0,0
NC04,183,-30.7539,28.0104,328.7,-52.6,4.2,1,0,0,0
NC03,183,-30.7594,28.0099,333.9,-56.2,3.4,1,0,0,0
NC02,183,-30.7598,28.0088,332.2,-55,2.4,1,0,0,0
NC01,183,-30.7605,28.006,338.9,-54.8,3.5,1,0,0,0
NN48,183,-30.7816,28.0066,329.8,-58.8,3.6,1,0,0,0
NN49,183,-30.7814,28.0066,334.8,-62.6,6.5,1,0,0,0
NN50,183,-30.781,28.0069,340.7,-53.9,1.7,1,0,0,0
NN51,183,-30.781,28.0069,342.9,-54.2,3.6,1,0,0,0
NN52,183,-30.7807,28.007,342.4,-51.2,5.4,1,0,0,0
NN53,183,-30.7804,28.007,339,-53.3,3.1,1,0,0,0
NN54,183,-30.7802,28.0069,332.4,-52.9,5.9,1,0,0,0
NN55,183,-30.7802,28.0067,331.3,-51.1,3.4,1,0,0,0
NN56,183,-30.7796,28.0059,332,-53,4.5,1,0,0,0
NN57,183,-30.7788,28.0044,334.4,-51.2,1.3,1,0,0,0
NN58,183,-30.7813,28.0007,339.3,-42.1,5.8,1,0,0,0
NN59,183,-30.7809,28.0006,337.3,-43.3,4.7,1,0,0,0
GH57K1,183,-26.5,29.1,353,-58,5,1,0,0,0
GH57K2,183,-26.5,29.1,307,-63,12,1,0,0,0
GH57K3,183,-29.1,29.9,347,-51,6,1,0,0,0
GH57K4,183,-29.1,29.9,0,-55,11,1,0,0,0
GH57K5,183,-29.1,29.9,331,-64,8,1,0,0,0
GH57K6,183,-29.1,29.9,324,-62,7,1,0,0,0
