Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
11,2450,48.55,-81.6,29,18,6.65,1,0,0,0
22,2450,47.33,-84.14,13,20.5,11,1,0,0,0
HP18,2450,47.69,-83.13,28,33,5,1,0,0,0
RL1E,2450,46.91,-83.22,10.9,10.5,4.7,1,0,0,0
RL2W,2450,46.9,-83.1,22.5,30,3.5,1,0,0,0
RL20,2450,46.92,-83,25,21.3,7.3,1,0,0,0
WL1,2450,47.4,-83.1,15.7,24.9,8,1,0,0,0
TM1,2450,48.51,-81.51,16.6,27.9,5.3,1,0,0,0
TM2,2450,48.56,-81.62,21,27,8.5,1,0,0,0
TM4,2450,48.17,-81.58,25.5,39.6,11.2,1,0,0,0
TM21,2450,47.75,-81.66,27.6,29.5,7,1,0,0,0
TM31,2450,47.67,-81.8,19.3,27,6.3,1,0,0,0
TM42,2450,47.62,-81.86,22.1,29.5,6.6,1,0,0,0
TK68,2450,47.51,-83.62,25,33.5,9.3,1,0,0,0
TK69,2450,47.48,-83.8,18.8,27.7,8.1,1,0,0,0
TK74,2450,47.47,-83.98,18,27.4,7,1,0,0,0
TA15,2450,47.53,-83.21,27.3,30.3,8,1,0,0,0
TM46,2450,47.39,-81.83,18.3,29,7,1,0,0,0
TM48,2450,47.28,-81.75,17.1,27.2,3.4,1,0,0,0
KS1,2450,47.78,-83.35,31,18,4,1,0,0,0
KS4,2450,48.43,-83.5,28,22,7,1,0,0,0
KS10,2450,48.3,-83.8,37,29,6,1,0,0,0
KS11,2450,48.26,-83.83,51,19,9,1,0,0,0
HP17,2450,47.73,-83.37,22,34,4,1,0,0,0
E19,2450,47.86,-83.32,37,15,5,1,0,0,0
159,2450,47.76,-83.41,13,25,11,1,0,0,0
160,2450,47.78,-83.48,20,27,9,1,0,0,0
161,2450,47.79,-83.54,34,19,4,1,0,0,0
168,2450,48.14,-83.43,28,21,8,1,0,0,0
169,2450,48.19,-83.35,35,17,6,1,0,0,0
170,2450,48.15,-83.13,34,24,5,1,0,0,0
174,2450,47.79,-83.35,35,23,11,1,0,0,0
186,2450,47.95,-84.2,33,21,14,1,0,0,0
188,2450,47.94,-84.15,38,27,8,1,0,0,0
189,2450,47.94,-84.14,33,21,7,1,0,0,0
191,2450,48.03,-84.13,22,34,7,1,0,0,0
206,2450,47.89,-84,39,44,8,1,0,0,0
214,2450,47.85,-83.8,32,31,6,1,0,0,0
218,2450,47.83,-83.64,33,17,10,1,0,0,0
220,2450,47.81,-83.55,28,20,6,1,0,0,0
221,2450,47.8,-83.55,26,24,11,1,0,0,0
222,2450,47.8,-83.55,20,19,4,1,0,0,0
224,2450,47.79,-83.53,20,19,9,1,0,0,0
226,2450,47.87,-83.31,31,27,3,1,0,0,0
227,2450,47.92,-83.15,20,30,5,1,0,0,0
231,2450,47.78,-83.53,24,17,11,1,0,0,0
232,2450,47.78,-83.5,28,25,5,1,0,0,0
233,2450,47.77,-83.45,31,31,5,1,0,0,0
MK17,2450,48.32,-84.06,35.2,22.1,7.1,1,0,0,0
MK27W,2450,48.23,-84.09,34.2,50,8.9,1,0,0,0
MK28,2450,48.22,-84.09,48.4,35.8,10.2,1,0,0,0
TK1,2450,47.8,-84.4,21.9,2.1,13,1,0,0,0
TK12,2450,47.81,-84.42,22.6,31.5,14.5,1,0,0,0
TK16,2450,47.81,-84.41,23.6,27.4,9.1,1,0,0,0
TK19,2450,47.8,-84.39,27.3,20.1,10.8,1,0,0,0
TK24,2450,47.78,-84.39,26.3,22.2,7,1,0,0,0
TK30,2450,47.89,-84.39,32.6,21.1,13,1,0,0,0
TK37,2450,47.7,-84.04,29.1,28.2,8.2,1,0,0,0
TK38,2450,47.72,-84.07,33.4,30.4,6.4,1,0,0,0
