Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
WD34,1110,-23.84,26.93,158.6,-27.2,16.9,1,0,0,0
M-O-D,1110,-18.45,32.76,168,-5.5,14,1,0,0,0
Masama 1 Sill (PW34),1110,-23.816,26.738,170.5,-13.6,8.8,1,0,0,0
WD8,1110,-24.28,28.71,171.4,-26.3,9.6,1,0,0,0
W04,1110,-25.75,29.45,171.5,-22.3,4.9,1,0,0,0
M-O-B,1110,-18.1,32.9,171.5,-10,4.5,1,0,0,0
WD26,1110,-23.95,28.39,171.7,10.6,9,1,0,0,0
Palapye dike (PW33),1110,-22.578,27.287,173.6,13.9,11.4,1,0,0,0
WRD5,1110,-25.88,29.03,173.9,15.2,15.3,1,0,0,0
W01-W02,1110,-25.48,29.45,175.6,-18.4,6.2,1,0,0,0
W05,1110,-25.76,29.48,176.4,-7.8,7.5,1,0,0,0
WRD4,1110,-25.66,29.16,178.1,11.1,8.2,1,0,0,0
M-O-F,1110,-19.6,32.8,179.5,-13,4,1,0,0,0
M-O-J,1110,-20.53,32.66,180.5,-10,16.5,1,0,0,0
Metsemotlhaba River Sill (PW6),1110,-24.547,25.809,180.6,-2.7,14.4,1,0,0,0
WD32,1110,-24.14,27.41,181.4,3.7,18.1,1,0,0,0
Wil-1,1110,-17.9,31.5,181.4,-15.4,7.9,1,0,0,0
TG-N-series,1110,-23.2,31.2,182.8,-14.7,6.5,1,0,0,0
J-M13,1110,-25.7,28.53,183,-3,5.7,1,0,0,0
Masama 2 Sill (PW36),1110,-23.815,26.735,183.2,3.5,7.7,1,0,0,0
WD1,1110,-23.81,28.74,184,-8.5,13.4,1,0,0,0
Mabogoapitse Hill Sill (PW7 and PW8),1110,-24.474,25.597,184.6,5.1,9.1,1,0,0,0
M-O-E,1110,-19.53,32.63,185,-3.5,5,1,0,0,0
M-O-H,1110,-19.85,32.95,185,-2.5,10.5,1,0,0,0
WRD7,1110,-25.71,28.71,185.1,21.7,22.7,1,0,0,0
Mosolotsane 4 Sill (PW24),1110,-22.895,26.374,185.2,-2.5,7.9,1,0,0,0
Mosolotsane 1 Sill (PW 21 PW 22  and JP 22 23 24),1110,-22.907,26.389,186.1,-5.6,4.6,1,0,0,0
TG-S-series,1110,-24.2,31.4,186.3,2.9,5.7,1,0,0,0
Semarule Hill Sill (PW9),1110,-24.453,25.574,186.8,3.8,9.1,1,0,0,0
Suping Sill (PW11 and JP15),1110,-24.328,25.532,187.2,-9.2,8.4,1,0,0,0
Mosolotsane 2 Sill (PW27),1110,-22.892,26.382,187.6,2,5.6,1,0,0,0
JP19,1110,-24.23,25.64,188.2,-15.4,14.9,1,0,0,0
Mosolotsane 5 Sill (PW23),1110,-22.903,26.37,188.5,-7.9,14.2,1,0,0,0
Masama 3 Sill (PW35 and PW37),1110,-23.814,26.735,188.5,-0.7,4.8,1,0,0,0
Moijabana Sill (PW30),1110,-22.642,26.443,189.4,-10,17.9,1,0,0,0
WD17,1110,-23.15,28.75,189.5,-18.8,9.5,1,0,0,0
Mosolotsane 3 Sill (PW26),1110,-22.893,26.381,189.8,-0.9,16.7,1,0,0,0
Kgale Peak Sill (PW1 and PW2),1110,-24.688,25.862,189.9,0.4,6.3,1,0,0,0
J-M3,1110,-23,26.41,190.5,4,2,1,0,0,0
WD19,1110,-23.16,26.68,190.5,-43.5,12.9,1,0,0,0
J-M8,1110,-24.23,25.87,191,-33,17,1,0,0,0
Mosolotsane 6 Sill (PW25),1110,-22.896,26.367,191.2,11.8,9,1,0,0,0
Shoshong Sill (PW 28 and JP 26 31 33 34),1110,-23.005,26.484,191.5,-5.4,3.1,1,0,0,0
W08-W09,1110,-25.62,29.1,192.8,15.9,1.9,1,0,0,0
Mogatelwane 2 Sill (PW15),1110,-24.18,25.692,193.5,-2.8,14.7,1,0,0,0
J-M7,1110,-24.33,26.13,193.5,-5.5,5.2,1,0,0,0
Phage Sill (PW29),1110,-22.779,26.394,194,-0.8,7.8,1,0,0,0
J-M10,1110,-22.92,29.93,194,24,9.5,1,0,0,0
Sepatamorire Sill (PW32),1110,-22.335,26.823,194.1,1.5,8.3,1,0,0,0
Dibete Kop Sill (PW38),1110,-23.782,26.563,194.4,0.8,9.4,1,0,0,0
Rapitsane Sill (PW10),1110,-24.42,25.585,197.7,-0.2,8.5,1,0,0,0
Mokgware Sill (PW31 and JP30),1110,-22.707,26.611,199,3.8,6.5,1,0,0,0
WRD6,1110,-25.82,28.95,201.7,1.1,33.6,1,0,0,0
WD25,1110,-23.42,28.65,205.6,11.9,22.4,1,0,0,0
WD33,1110,-24.05,27.32,206.9,-36.2,14.9,1,0,0,0
Rasemong Sill,1110,-24.727,25.776,194.4,18.6,8.1,1,0,0,0
VF1-VF2,1110,-25.8,27.5,187.2,6.8,3.1,1,0,0,0
J-M12,1110,-26.9,28.53,196,14.5,3.9,1,0,0,0
Wil-2,1110,-17.4,30.1,190.6,-9.3,11.6,1,0,0,0
